BRAND;YEAR;QUARTER;YQUARTER;VEHICLE;LL;P1;P2;P3;NO_DATA;UNCLASSIFIED;SPEND;MACO
Brand1;2021;Q1;2021_q1;Source1;;;3866027;;;;30218.16;38254.19
Brand1;2021;Q1;2021_q1;Source2;;;6853881;;;;45115.26;63733.10
Brand1;2022;Q1;2022_q1;Source1;;;;;;718214;508926.12;514838.27
Brand1;2022;Q1;2022_q1;Source2;;;;;;2133333;216037.78;337949.44
Brand1;2022;Q2;2022_q2;Source4;;;;;14475;;307130.35;569876.21
Brand1;2022;Q2;2022_q2;Source1;40307;156921;915226;;;1968896;344079.15;669720.43
Brand1;2022;Q2;2022_q2;Source2;7111;124289;305736;;;5055866;380317.71;539430.93
Brand1;2022;Q3;2022_q3;Source1;;;;;;1022591;0;0
Brand1;2022;Q3;2022_q3;Source2;;;;;;2642979;0;0
Brand2;2021;Q1;2021_q1;Source1;;;;;;139764;4435.38;5811.32
Brand2;2021;Q1;2021_q1;Source2;;;27511095;0;;187108;15673.41;17235.26
Brand2;2021;Q2;2021_q2;Source1;;;549899;;;;19955.60;11967.44
Brand2;2021;Q2;2021_q2;Source2;;;6991617;;;;9078.49;9809.75
Brand2;2021;Q3;2021_q3;Source1;;592853;2359836;;;;203768.46;243726.50
Brand2;2021;Q3;2021_q3;Source2;;27067;2141844;;;;266054.58;367562.45
Brand2;2021;Q4;2021_q4;Source4;;;1848387;;;;197151.23;244774.35
Brand2;2021;Q4;2021_q4;Source1;;2749365;12095382;;;776236;102048.72;183790.88
Brand2;2021;Q4;2021_q4;Source2;;22409595;33748611;;;844257;315957.10;464883.53
Brand2;2021;Q4;2021_q4;Source6;;;69660950;;;;280391.99;433601.97
Brand2;2022;Q1;2022_q1;Source1;30415027;3569922;44417283;;;50487208;30047.87;26750.33
Brand2;2022;Q1;2022_q1;Source2;12561230;6645757;16564140;;;34454283;139783.88;320717.77
Brand2;2022;Q1;2022_q1;Source3;;;3334118;;;;149365.52;447204.46
Brand2;2022;Q2;2022_q2;Source5;;43902;848990;;;;69168.67;100888.82
Brand2;2022;Q2;2022_q2;Source1;1806311;504056;13531921;;;63693823;118402.21;243692.36
Brand2;2022;Q2;2022_q2;Source2;1441685;233172;13942500;;;48588373;380496.79;642660.30
Brand2;2022;Q3;2022_q3;Source4;;;;;127523;;0;0
Brand2;2022;Q3;2022_q3;Source1;758482;665114;5470511;;;6440142;0;0
Brand2;2022;Q3;2022_q3;Source2;1926585;980913;4001183;;;29815252;0;0
Brand3;2021;Q1;2021_q1;Source5;;;;0;;;542538.45;539247.23
Brand3;2022;Q1;2022_q1;Source4;;;53394443;;;;18466.76;16823.34
Brand3;2022;Q1;2022_q1;Source1;10657995;9100;49634376;;;1501175;12508.37;21909.17
Brand3;2022;Q1;2022_q1;Source2;6058131;8120;32531699;;;1555657;90795.73;88063.92
Brand3;2022;Q1;2022_q1;Source6;;;25618376;;;;237652.60;640701.35
Brand3;2022;Q2;2022_q2;Source4;;;35153441;;;;15099.31;35281.56
Brand3;2022;Q2;2022_q2;Source1;18926;0;0;;;8434738;91592.80;181925.17
Brand3;2022;Q2;2022_q2;Source2;145033;;0;;;18647620;162262.61;270045.67
Brand3;2022;Q2;2022_q2;Source6;;;32459157;;;;102851.53;339065.28
Brand3;2022;Q3;2022_q3;Source1;;;;;;256710;0;0
Brand3;2022;Q3;2022_q3;Source2;;;;;;7538333;0;0
Brand4;2021;Q1;2021_q1;Source5;;;;82669494;;46314112;45146.20;55625.43
Brand4;2021;Q1;2021_q1;Source1;;9168698;;;;;62136.91;89066.85
Brand4;2021;Q1;2021_q1;Source2;;7746988;;;;;49877.37;57270.20
Brand4;2021;Q2;2021_q2;Source5;;1031362;;37326059;10673930;15364699;37982.56;68958.74
Brand4;2021;Q2;2021_q2;Source1;;8534880;;;;;143926.79;288486.57
Brand4;2021;Q2;2021_q2;Source2;;5933731;;;;;132384.34;313058.47
Brand4;2021;Q3;2021_q3;Source1;;2955432;;;;;114498.36;181472.58
Brand4;2021;Q3;2021_q3;Source2;;7627519;;;;;505729.90;604572.81
Brand4;2021;Q4;2021_q4;Source1;43181644;1753360;264126;;;;131119.52;136101.78
Brand4;2021;Q4;2021_q4;Source2;1672754;5563676;534154;;;;303200.62;306330.69
Brand4;2022;Q1;2022_q1;Source4;;;85266;;45933;;122420.19;259640.16
Brand4;2022;Q1;2022_q1;Source1;10914980;25903;1013346;;;171130;13931.65;28681.52
Brand4;2022;Q1;2022_q1;Source2;1489101;13580;222409;;;1012078;56749.60;76537.24
Brand4;2022;Q2;2022_q2;Source4;;;103305;;673038;;266675.29;691867.23
Brand4;2022;Q2;2022_q2;Source5;;12863957;;57138379;;;6665.34;14907.21
Brand4;2022;Q2;2022_q2;Source1;67340276;4673488;74827179;7567298;;502926;39263.44;137528.91
Brand4;2022;Q2;2022_q2;Source2;58670923;2084643;93154734;9613139;;1935111;20539.90;68629.74
Brand4;2022;Q2;2022_q2;NA;;;;;;7398;0;0
Brand4;2022;Q3;2022_q3;Source4;;;;;20270;;0;0
Brand4;2022;Q3;2022_q3;Source1;11862413;8289275;18215838;;;1140002;0;0
Brand4;2022;Q3;2022_q3;Source2;6107736;3643316;9452433;;;3372474;0;0
Brand4;2022;Q3;2022_q3;NA;;;;;;825070;0;0
Brand5;2022;Q1;2022_q1;Source1;17553466;300217;;;;4833379;230384.86;566118.90
Brand5;2022;Q1;2022_q1;Source2;3824156;228809;;;;12390022;248178.24;682322.70
Brand5;2022;Q2;2022_q2;Source4;;;;;78461;;13719.42;39386.95
Brand5;2022;Q2;2022_q2;Source5;;;2001663;;;;13319.14;36211.62
Brand5;2022;Q2;2022_q2;Source1;28274781;6068154;40744401;;;3344211;59278.66;77898.56
Brand5;2022;Q2;2022_q2;Source2;7511634;2289843;16460390;;;9656171;22584.89;24436.58
Brand5;2022;Q2;2022_q2;NA;;;;;;6005;0;0
Brand5;2022;Q2;2022_q2;Source3;;;;;11030987;;77962.59;81166.49
Brand5;2022;Q3;2022_q3;Source4;;;;;74963;;0;0
Brand5;2022;Q3;2022_q3;Source1;38432347;18598165;46029913;;;3878934;0;0
Brand5;2022;Q3;2022_q3;Source2;7667846;3849989;11409459;;;7236698;0;0
Brand5;2022;Q3;2022_q3;NA;;;;;;771;0;0
Brand5;2022;Q3;2022_q3;Source3;;;540160;;16689781;;0;0
Brand6;2021;Q3;2021_q3;Source5;6064487;2739452;;19703740;;;0;0
Brand6;2021;Q3;2021_q3;Source1;;25747398;62579343;;;;32102.14;48399.32
Brand6;2021;Q3;2021_q3;Source2;;52647495;108949238;;;;311504.79;506499.32
Brand6;2021;Q3;2021_q3;Source7;;;30590697;;;;7135.10;22974.10
Brand6;2021;Q3;2021_q3;Source6;;;68101890;;;;1550.68;6291.69
Brand6;2021;Q4;2021_q4;Source5;330764;265212;;857035;;;24163.21;26845.14
Brand6;2021;Q4;2021_q4;Source1;;4164471;1794102;;;15139;342929.83;589322.16
Brand6;2021;Q4;2021_q4;Source2;;8216911;5642697;;;32040;510485.10;595971.17
Brand6;2021;Q4;2021_q4;Source7;;;977739;;;;272129.45;545389.88
Brand6;2021;Q4;2021_q4;Source6;;;2883850;;;;63369.85;88340.83
Brand6;2022;Q1;2022_q1;Source1;6074480;;24609460;;;1096081;48644.99;94781.40
Brand6;2022;Q1;2022_q1;Source2;8435572;;28214565;;;3587520;228821.74;385707.67
Brand6;2022;Q1;2022_q1;Source7;;;31835;;;;38738.22;57617.89
Brand6;2022;Q1;2022_q1;Source3;;14191232;45986359;;;;379415.66;545711.63
Brand6;2022;Q2;2022_q2;Source5;;340082;3951015;;;;114589.99;331905.72
Brand6;2022;Q2;2022_q2;Source1;6729894;;7680353;;;24739700;204183.36;559079.20
Brand6;2022;Q2;2022_q2;Source2;7116793;;3011524;;;68309642;307377.36;639638.83
Brand6;2022;Q2;2022_q2;NA;;;;;104437;;0;0
Brand6;2022;Q2;2022_q2;Source7;;;4905;;;;158147.50;479562.53
Brand6;2022;Q2;2022_q2;Source3;;;941672;;;;21234.21;40797.88
Brand6;2022;Q3;2022_q3;Source1;922722;3981;443451;;;3918663;0;0
Brand6;2022;Q3;2022_q3;Source2;552323;4002;626023;;;2114068;0;0
Brand6;2022;Q3;2022_q3;NA;;;;;1432813;482995;0;0
Brand6;2022;Q3;2022_q3;Source7;;;417;;;;0;0
