Brand;Quarter;Spends;Maco;Causals;Volume;CPM;EFF;ROI;P1
Brand1;2021Q2;169821,1753;163531,3699;194584616,5;8086,634834;0,872736902;0,041558449;0,962962184;0,10000
Brand1;2021Q3;143799,355;160621,3444;211758072;7942,733919;0,679073783;0,03750853;1,11698237;0,35000
Brand1;2021Q4;9380,317164;11781,89926;8984931;582,6155375;1,044005476;0,06484363;1,25602355;0,01600
Brand1;2022Q1;107989,1762;132402,2698;166748726;7052,467539;0,647616199;0,042293982;1,22606982;0,06409
Brand2;2021Q2;578302,51;750449,6574;673866619,3;23723,32076;0,858185423;0,035204772;1,297676639;0,03000
Brand2;2021Q3;1320422,712;1290624,58;1443383122;40799,40684;0,914810969;0,028266512;0,977432884;0,22000
Brand2;2021Q4;905156,3548;1164035,079;973531058;36797,64164;0,929766285;0,037798118;1,286004427;0,19000
Brand2;2022Q1;1073820,417;1850718,63;1465250370;59895,43269;0,732857974;0,040877268;1,723489887;0,21522
Brand2;2022Q2;1282840,564;1735361,295;1241051686;60229,70086;1,03367215;0,048531178;1,352749003;0,38464
Brand2;2022Q3;1483412,152;2040392,867;1600780023;69419,8455;0,926680825;0,043366262;1,375472665;0,52094
Brand3;2021Q2;396402,2847;748157,0269;492755583,8;19044,89474;0,804460259;0,03864978;1,8873681;0,11000
Brand3;2021Q3;1795889,502;2263181,368;1515970765;57610,96851;1,184646527;0,038002691;1,260200789;0,18000
Brand3;2021Q4;748285,4919;970228,9512;597299493;24697,90108;1,25278106;0,041349275;1,296602649;0,22000
Brand3;2022Q1;1483509,429;1203733,17;1478947849;28415,66547;1,003084341;0,019213433;0,811409181;0,10341
Brand3;2022Q2;1069170,659;1541019,816;1018476095;38003,85948;1,049774918;0,037314434;1,441322583;0,40574
Brand3;2022Q3;1276275,088;1472017,155;1765400775;38642,17958;0,722937877;0,021888616;1,153369809;0,15798
Brand4;2021Q2;634721,2648;908297,722;903688109,5;16398,12893;0,702367618;0,018145784;1,431018263;0,48000
Brand4;2021Q3;794029,1383;956687,2219;1117122593;17271,73814;0,710780664;0,015460916;1,20485153;0,18000
Brand4;2021Q4;852077,0469;1157398,066;1074542716;20895,31026;0,792967124;0,01944577;1,3583256;0,22000
Brand4;2022Q1;458603,4842;846442,7511;740971693;14512,63402;0,618921733;0,019585949;1,845696294;0,41830
Brand4;2022Q2;1232222,814;1868504,204;1318092160;35685,61881;0,934853306;0,02707369;1,516368779;0,50855
Brand4;2022Q3;971247,7588;1469164,92;1415538095;26885,87189;0,686133254;0,018993393;1,512657205;0,50287
Brand5;2021Q2;271614,8819;576374,6559;352066896,4;23891,10119;0,771486569;0,06785955;2,122028998;0,13000
Brand5;2021Q3;581294,3219;1027175,832;853733966;42577,10068;0,680884614;0,049871626;1,767049486;0,25000
Brand5;2021Q4;849844,2858;1265346,534;866310432;52449,42986;0,980992788;0,060543459;1,48891574;0,27000
Brand5;2022Q1;396263,52;634321,6674;435561661;27902,93297;0,909775941;0,064061958;1,600757161;0,17014
Brand5;2022Q2;1275192,795;2413677,444;1685128819;117647,9575;0,756733124;0,069815409;1,892794136;0,39435
Brand5;2022Q3;1403817,545;2438790,553;1629746334;114101,3444;0,861371807;0,07001172;1,737256071;0,50193
Brand6;2022Q3;850647,8345;1869731,004;759008548,6;46992,33765;1,120735512;0,061912791;2,198008304;0,18061
Brand6;2021Q2;410836,8942;1048904,522;439371811,4;22209,95922;0,935055194;0,050549349;2,553092326;0,13000
Brand6;2021Q3;415474,8074;1008106,291;518244051;21346,07978;0,801697205;0,041189242;2,426395711;0,13000
Brand6;2021Q4;616550,813;1349989,267;358375919;28585,25819;1,720402461;0,079763334;2,189583143;0,27000
Brand6;2022Q1;511500,3228;1111486,346;552914063;21425,20582;0,925099138;0,038749613;2,172992463;0,25847
Brand6;2022Q2;846330,5041;2126851,437;837180926,5;45027,06888;1,010929033;0,053784155;2,513027035;0,33970
