Data;Acessos
fev/17;738
mar/17;4515
abr/17;5235
mai/17;6350
jun/17;5253
jul/17;3094
ago/17;4047
set/17;4245
out/17;4875
nov/17;4425
dez/17;2860
jan/18;2015
fev/18;2267
mar/18;3868
abr/18;5756
mai/18;6350
jun/18;4893
jul/18;4101
ago/18;5738
set/18;6170
out/18;5756
nov/18;6638
dez/18;3112
jan/19;2842
fev/19;3976
mar/19;5612
abr/19;7519
mai/19;7231
jun/19;6152
jul/19;3580
ago/19;4515
set/19;5612
out/19;5577
nov/19;5702
dez/19;2932
jan/20;2788
fev/20;2806
mar/20;4659
abr/20;4587
mai/20;4497
jun/20;4587
jul/20;4101
ago/20;4605
set/20;5864
out/20;7124
nov/20;5271
dez/20;3724
