Label,Value
1914,1
1918,2
1924,1
1925,1
1927,1
1928,2
1929,2
1930,2
1931,2
1933,4
1934,1
1935,1
1936,3
1937,6
1938,2
1939,2
1940,7
1941,6
1942,4
1943,14
1944,1
1945,13
1946,12
1947,1
1948,9
1949,6
1950,11
1951,12
1952,11
1953,14
1954,12
1955,8
1956,9
1957,7
1958,9
1959,13
1960,1
1961,8
1962,16
1963,15
1964,6
1965,12
1966,11
1967,2
1968,17
1969,35
1970,36
1971,46
1972,82
1973,74
1974,91
1975,76
1976,102
1977,96
1978,84
1979,89
1980,137
1981,12
1982,81
1983,98
1984,119
1985,189
1986,166
1987,195
1988,19
1989,244
1990,21
1991,205
1992,226
1993,315
1994,27
1995,303
1996,39
1997,623
1998,776
1999,92
2000,1115
2001,1245
2002,1465
2003,1744
2004,201
2005,2444
2006,274
2007,3387
2008,3844
2009,3868
2010,4384
2011,4622
2012,4522
2013,4663
2014,4844
2015,4693
2016,4745
2017,4972
2018,5023
2019,5113
2020,5601
2021,194
