Year ;Documents 
1955;1
1956;0
1957;0
1958;0
1959;0
1960;0
1961;0
1962;0
1963;0
1964;0
1965;0
1966;0
1967;1
1968;1
1969;0
1970;0
1971;1
1972;0
1973;0
1974;0
1975;0
1976;0
1977;0
1978;1
1979;1
1980;1
1981;2
1982;0
1983;1
1984;1
1985;3
1986;0
1987;1
1988;2
1989;1
1990;4
1991;8
1992;6
1993;6
1994;8
1995;6
1996;10
1997;18
1998;23
1999;14
2000;25
2001;36
2002;50
2003;58
2004;48
2005;83
2006;107
2007;170
2008;223
2009;277
2010;434
2011;439
2012;446
2013;570
2014;708
2015;780
2016;794
2017;797
2018;953
2019;1097
2020;1218
