Year;Documents
1921;1
1922;0
1923;0
1924;1
1925;0
1926;0
1927;0
1928;0
1929;1
1930;0
1931;2
1932;0
1933;0
1934;0
1935;1
1936;1
1937;1
1938;1
1939;0
1940;0
1941;1
1942;0
1943;0
1944;0
1945;0
1946;0
1947;1
1948;0
1949;0
1950;0
1951;0
1952;0
1953;1
1954;1
1955;0
1956;1
1957;1
1958;3
1959;1
1960;1
1961;2
1962;1
1963;1
1964;1
1965;1
1966;5
1967;0
1968;0
1969;4
1970;2
1971;4
1972;5
1973;5
1974;10
1975;7
1976;12
1977;7
1978;10
1979;10
1980;14
1981;10
1982;11
1983;5
1984;10
1985;4
1986;6
1987;5
1988;5
1989;11
1990;8
1991;9
1992;9
1993;10
1994;11
1995;10
1996;4
1997;15
1998;15
1999;7
2000;4
2001;12
2002;17
2003;17
2004;19
2005;18
2006;13
2007;14
2008;22
2009;24
2010;27
2011;43
2012;32
2013;66
2014;74
2015;82
2016;104
2017;106
2018;99
2019;141
2020;143
